	Land	IATA-Flughafencode	ICAO-Flughafencode
Tirana Airport,Albanien,TIA,LATI
Jerewan Swartnoz Airport,Armenien,EVN,UDYZ
Baku Airport,Aserbaidschan,GYD,UBBB
Antwerpen Airport,Belgien,ANR,EBAW
Brüssel Airport,Belgien,BRU,EBBR
Charleroi Airport,Belgien,CRL,EBCI
Lüttich Airport,Belgien,LGG,EBLG
Ostende Brügge Airport,Belgien,OST,EBOS
Sarajevo Airport,Bosnien und Herzegowina,SJJ,LQSA
Tuzla Airport,Bosnien und Herzegowina,TZL,LQTZ
Burgas Airport,Bulgarien,BOJ,LBBG
Sofia Airport,Bulgarien,SOF,LBSF
Warna Airport,Bulgarien,VAR,LBWN
Aalborg Airport,	Dänemark	AAL	EKYT
Aarhus Airport,	Dänemark	AAR	EKAH
Billund Airport,	Dänemark	BLL	EKBI
Kopenhagen Airport,	Dänemark	CPH	EKCH
Vágar Airport,	Dänemark	FAE	EKVG
Allgäu Airport, Memmingen	Deutschland	FMM	EDJA
Berlin Brandenburg Airport,	Deutschland	BER	EDDB
Berlin Schönefeld Airport,	Deutschland	SXF	EDDB
Berlin Tegel Airport,	Deutschland	TXL	EDDT
Bremen Airport,	Deutschland	BRE	EDDW
Dortmund Airport,	Deutschland	DTM	EDLW
Dresden Airport,	Deutschland	DRS	EDDC
Düsseldorf Airport,	Deutschland	DUS	EDDL
Frankfurt Airport,	Deutschland	FRA	EDDF
Frankfurt-Hahn Airport,	Deutschland	HHN	EDFH
Friedrichshafen Airport,	Deutschland	FDH	EDNY
Hamburg Airport,	Deutschland	HAM	EDDH
Hannover Airport,	Deutschland	HAJ	EDDV
Karlsruhe Baden-Baden Airport,	Deutschland	FKB	EDSB
Köln Bonn Airport,	Deutschland	CGN	EDDK
Leipzig Halle Airport,	Deutschland	LEJ	EDDP
München Airport,	Deutschland	MUC	EDDM
Münster Osnabrück Airport,	Deutschland	FMO	EDDG
Nürnberg Airport,	Deutschland	NUE	EDDN
Paderborn Lippstadt Airport,	Deutschland	PAD	EDLP
